B and C, n=4, tf = 1.0
Energy = -1.710472319247537
[(0, 1), (0, 3), (0, 2), (1, 2), (1, 3), (2, 3)]
0.0	0	-1.0589787186342279
0.001	0	-1.0515933732197573
0.002	0	-1.0441916619277114
0.003	0	-1.0367741634102585
0.004	0	-1.0293413813204786
0.005	0	-1.0218939125094373
0.006	0	-1.0144324131162465
0.007	0	-1.0069575162005884
0.008	0	-0.9994697478528526
0.009	0	-0.9919696794059328
0.01	0	-0.9844578923558147
0.011	0	-0.9769349714954034
0.012	0	-0.969401501008089
0.013	0	-0.9618580672314445
0.014	0	-0.954305246024177
0.015	0	-0.9467436313191699
0.016	0	-0.9391738069822739
0.017	0	-0.9315963576804293
0.018	0	-0.9240118702162519
0.019	0	-0.9164209305606744
0.02	0	-0.9088241251868818
0.021	0	-0.9012220411638001
0.022	0	-0.8936152661467367
0.023	0	-0.8860043883251729
0.024	0	-0.878389994085729
0.025	0	-0.8707726702295201
0.026	0	-0.8631530048831716
0.027	0	-0.8555315865074383
0.028	0	-0.8479090038892994
0.029	0	-0.8402858461338505
0.03	0	-0.8326627020045096
0.031	0	-0.8250401578577017
0.032	0	-0.8174188029033105
0.033	0	-0.8097992239749432
0.034	0	-0.8021820105743904
0.035	0	-0.7945677510997247
0.036	0	-0.786957034021177
0.037	0	-0.7793504468197895
0.038	0	-0.7717485765981159
0.039	0	-0.7641520110717686
0.04	0	-0.7565613378931656
0.041	0	-0.7489771446458796
0.042	0	-0.741400018838879
0.043	0	-0.7338305489577652
0.044	0	-0.7262693173638469
0.045	0	-0.7187169126268388
0.046	0	-0.7111739206941433
0.047	0	-0.703640927369468
0.048	0	-0.6961185182885368
0.049	0	-0.6886072788948444
0.05	0	-0.6811077930933014
0.051	0	-0.6736206435664958
0.052	0	-0.6661464139633465
0.053	0	-0.6586856875701932
0.054	0	-0.6512390472825927
0.055	0	-0.6438070755778817
0.056	0	-0.6363903544877925
0.057	0	-0.6289894655711263
0.058	0	-0.6216049898864809
0.059	0	-0.6142375079650294
0.06	0	-0.6068875997833569
0.061	0	-0.5995558447363515
0.062	0	-0.5922428216101449
0.063	0	-0.5849491085551116
0.064	0	-0.5776752830589162
0.065	0	-0.5704219217731673
0.066	0	-0.5631895984515725
0.067	0	-0.5559788872574785
0.068	0	-0.5487903625607402
0.069	0	-0.5416245971416953
0.07	0	-0.5344821628373497
0.071	0	-0.5273636305742816
0.072	0	-0.520269570339049
0.073	0	-0.5132005511486537
0.074	0	-0.5061571410210708
0.075	0	-0.49913990694583266
0.076	0	-0.4921494148546789
0.077	0	-0.48518622959226176
0.078	0	-0.47825091488690674
0.079	0	-0.47134403332143715
0.08	0	-0.4644661463040459
0.081	0	-0.4576178155851425
0.082	0	-0.4507996051602152
0.083	0	-0.44401207449795166
0.084	0	-0.4372557821385672
0.085	0	-0.43053128783162453
0.086	0	-0.4238391470956393
0.087	0	-0.417179913674143
0.088	0	-0.41055414016052283
0.089	0	-0.40396237797077694
0.09	0	-0.39740517731634284
0.091	0	-0.3908830871769706
0.092	0	-0.3843966552736655
0.093	0	-0.37794642804169354
0.094	0	-0.3715329506036439
0.095	0	-0.3651567667425609
0.096	0	-0.35881841888094
0.097	0	-0.35251844869798
0.098	0	-0.34625739642626463
0.099	0	-0.3400358005042541
0.1	0	-0.33385419792543036
0.101	0	-0.32771312420142484
0.102	0	-0.3216131131716259
0.103	0	-0.31555469733093044
0.104	0	-0.3095384077037798
0.105	0	-0.30356477373531665
0.106	0	-0.29763432326722283
0.107	0	-0.29174758251361677
0.108	0	-0.28590507603701565
0.109	0	-0.28010732672437255
0.11	0	-0.2743548557631681
0.111	0	-0.26864818261758017
0.112	0	-0.26298782507717267
0.113	0	-0.25737429957039837
0.114	0	-0.25180812046313694
0.115	0	-0.24628980025440173
0.116	0	-0.24081984961873348
0.117	0	-0.2353987773836208
0.118	0	-0.23002709049598946
0.119	0	-0.22470529268107065
0.12	0	-0.2194338865272032
0.121	0	-0.21421337372467864
0.122	0	-0.2090442539510835
0.123	0	-0.20392702485217673
0.124	0	-0.1988621820228258
0.125	0	-0.19385021898797383
0.126	0	-0.1888916271836596
0.127	0	-0.18398689593808082
0.128	0	-0.17913651325564284
0.129	0	-0.17434097044563235
0.13	0	-0.16960073925316066
0.131	0	-0.16491630598326523
0.132	0	-0.16028815019929188
0.133	0	-0.1557167492632281
0.134	0	-0.151202578322281
0.135	0	-0.14674611029538287
0.136	0	-0.14234781585964162
0.137	0	-0.13800816343671718
0.138	0	-0.13372761917913922
0.139	0	-0.12950664691833624
0.14	0	-0.12534570706621995
0.141	0	-0.12124525874176817
0.142	0	-0.11720575937902566
0.143	0	-0.11322766405477547
0.144	0	-0.10931142616103451
0.145	0	-0.1054574963386622
0.146	0	-0.1016663225763379
0.147	0	-0.09793835043259747
0.148	0	-0.09427402302397381
0.149	0	-0.09067378101310286
0.15	0	-0.08713806256287016
0.151	0	-0.08366730334850403
0.152	0	-0.08026193665932024
0.153	0	-0.07692239326819816
0.154	0	-0.07364910141713887
0.155	0	-0.07044248680757037
0.156	0	-0.06730297259062035
0.157	0	-0.06423097935732613
0.158	0	-0.06122692512879213
0.159	0	-0.058291225346315256
0.16	0	-0.05542429282784389
0.161	0	-0.05262653735848466
0.162	0	-0.04989836659862501
0.163	0	-0.047240185764356735
0.164	0	-0.044652397415120504
0.165	0	-0.04213540173675323
0.166	0	-0.03968959644674008
0.167	0	-0.03731537660543904
0.168	0	-0.03501313476032397
0.169	0	-0.03278326097010198
0.17	0	-0.030626142389595712
