             0	   9.40258e-06
           0.1	   4.98566e-06
           0.2	   2.40206e-06
           0.3	   1.07525e-06
           0.4	   4.25903e-07
           0.5	             0
           0.6	             0
           0.7	             0
           0.8	             0
           0.9	             0
             1	             0
           1.1	             0
           1.2	             0
           1.3	             0
           1.4	             0
           1.5	             0
           1.6	             0
           1.7	             0
           1.8	             0
           1.9	             0
