             0	      0.129691
           0.1	     0.0314511
           0.2	      0.646988
           0.3	      0.545146
           0.4	     0.0464668
           0.5	      0.529722
           0.6	       0.75725
           0.7	      0.984107
           0.8	      0.631728
           0.9	      0.751499
             1	      0.911605
           1.1	      0.874811
           1.2	      0.249464
           1.3	      0.193137
           1.4	      0.242122
           1.5	      0.307947
           1.6	      0.198627
           1.7	             1
           1.8	     0.0880165
           1.9	             0
